Vnom     :=  13.80	   ; 			#  Nominal voltage		 (kV)
Vmax     :=  1.05      ; 			#  Maximum voltage limit (pu)
Vmin     :=  0.95      ;			#  Minimum voltage limit (pu)
Sub	     :=  1		   ;			#  Substation node



# Technical Characteristic of conductor types		
Conductor Type: |   R 		jX (Ohm/Km)  | Imax (A):=
	    CC1        1.1440 	 0.8762 	    200
	    CC2        0.9963 	 0.7133 	    250
	    CC3        0.7618 	 0.7077 	    300
	    CC4        0.5995 	 0.6610 	    350
	    CC5        0.3692 	 0.4150 	    450
	    CC6        0.3209 	 0.3554 	    600
        ;
				
		
		
		
# Cost of conductor replacement (10^3$/Km)
					NEW TYPE
INITIAL TYPE  | CC1 |  CC2 |  CC3  |  CC4  |  CC5  |  CC6 :=
   CC1 		     -    7.50   13.50   21.50   29.50   37.50
   CC2 		   1e10    -     11.00   18.50   25.50   34.00
   CC3 		   1e10   1e10    -      14.00   22.00   29.00
   CC4 		   1e10   1e10   1e10      -     17.50   25.00
    ;


	
# CIRCUITS DATA INFORMATION
	| Circuit   |   km	  |Initial Conductor Type	|	:=		
	 1  	2 		0.20	  CC4
	 2  	3 		0.25	  CC2  
	 2  	4 		0.10	  CC4  
	 4  	5 		0.20	  CC4  
	 5  	6 		0.20	  CC4  
	 6  	7 		0.20	  CC4  
	 7  	8 		0.20	  CC4  
	 8  	9 		0.05	  CC4  
	 9  	10 		0.25	  CC4
	 10 	11 		0.10	  CC1
	 11 	12 		0.18	  CC1
	 12 	13 		0.15	  CC1
	 13 	14 		0.16	  CC1
	 11 	15 		0.15	  CC1
	 15 	16 		0.05	  CC1
	 16 	17 		0.1		  CC1
	 17 	18 		0.2		  CC1
	 18 	19 		0.2		  CC1
	 19 	20 		0.25	  CC1
	 18 	21 		0.15	  CC1
	 10 	22 		0.15	  CC4
	 22 	23 		0.21	  CC4
	 23 	24 		0.25	  CC3
	 24 	25 		0.10	  CC3
	 25 	26 		0.15	  CC2
	 26 	27 		0.18	  CC2
	 27 	28 		0.2		  CC2
	 28 	29 		0.1		  CC2
	 29 	30 		0.12	  CC2
	 28 	31 		0.1		  CC2
	 26 	32 		0.1		  CC1
	 32 	33 		0.025	  CC1
	 33 	34 		0.125	  CC1
	 23 	35 		0.05	  CC4
	 35 	36 		0.21	  CC4
	 36 	37 		0.05	  CC4
	 37 	38 		0.05	  CC4
	 38 	39 		0.21	  CC4
	 38 	40 		0.1		  CC4
	 40 	41 		0.18	  CC1
	 40 	42 		0.25	  CC1
	 42 	43 		0.05	  CC1
	 40 	44 		0.15	  CC4
	 44 	45 		0.2		  CC4
	 38 	46 		0.18	  CC4
	 46 	47 		0.1		  CC4
	 47 	48 		0.12	  CC4
	 48 	49 		0.25	  CC4
	 49 	50 		0.1		  CC4
	 50 	51 		0.17	  CC4
	 48 	52 		0.1		  CC4
	 52 	53 		0.18	  CC1
	 53 	54 		0.15	  CC1
	 54 	55 		0.13	  CC1
	 52 	56 		0.1		  CC1
	 56 	57 		0.24	  CC1
	 57 	58 		0.25	  CC1
	 57 	59 		0.18	  CC1
	 59 	60 		0.1		  CC1
	 48 	61 		0.2		  CC4
	 61 	62 		0.05	  CC4
	 62 	63 		0.25	  CC4
	 63 	64 		0.15	  CC3
	 64 	65 		0.1		  CC3
	 65 	66 		0.15	  CC3
	 66 	67 		0.1		  CC3
	 67 	68 		0.15	  CC1
	 67 	69 		0.1		  CC1
	 69 	70 		0.1		  CC1
	 67 	71 		0.25	  CC3
	 71 	72 		0.2		  CC3
	 72 	73 		0.2		  CC3
	 73 	74 		0.1		  CC3
	 74 	75 		0.11	  CC3
	 63 	76 		0.1		  CC4
	 76 	77 		0.15	  CC4
	 77 	78 		0.25	  CC4
	 78 	79 		0.21	  CC4
	 79 	80 		0.21	  CC4
	 80 	81 		0.15	  CC4
	 81 	82 		0.15	  CC4
	 82 	83 		0.25	  CC1
	 82 	84 		0.25	  CC4
	 84 	85 		0.15	  CC4
	 128	86 		0.15	  CC4
	 86 	87 		0.1		  CC4
	 78 	88 		0.13	  CC2
	 78 	89 		0.25	  CC4
	 89 	90 		0.25	  CC4
	 90 	91 		0.18	  CC4
	 91 	92 		0.1		  CC4
	 92 	93 		0.15	  CC2
	 92 	94 		0.21	  CC2
	 92 	95 		0.1		  CC4
	 95 	96 		0.2		  CC2
	 95 	97 		0.25	  CC2
	 97 	98 		0.18	  CC2
	 98 	99 		0.11	  CC1
	 98 	100 	0.2		  CC2
	 100 	101 	0.11	  CC2
	 95 	102 	0.18	  CC4
	 102 	103 	0.2		  CC4
	 103 	104 	0.15	  CC3
	 103 	105 	0.15	  CC3
	 105 	106 	0.21	  CC3
	 106 	107 	0.15	  CC3
	 107 	108 	0.1		  CC3
	 108 	109 	0.1		  CC1
	 109 	110 	0.15	  CC1
	 110 	111 	0.1		  CC1
	 107 	112 	0.17	  CC3
	 112 	113 	0.11	  CC3
	 113 	114 	0.11	  CC1
	 113 	115 	0.5		  CC1
	 115 	116 	0.3		  CC1
	 116 	117 	0.5		  CC1
	 117 	118 	0.6		  CC1
	 90 	119 	0.21	  CC2
	 119 	120 	0.21	  CC2
	 120 	121 	0.21	  CC2
	 119 	122 	0.27	  CC2
	 122 	123 	0.13	  CC1
	 123 	124 	0.1		  CC1
	 123 	125 	0.1		  CC1
	 125 	126 	0.54	  CC1
	 126 	127 	0.2		  CC1
	 85  	128 	0.1		  CC4
	 128 	129 	0.18	  CC2
	 104 	130 	0.21	  CC3
	 130 	131 	0.1		  CC3
	 130 	132 	0.1		  CC3
	 132 	133 	0.2		  CC3
	 133 	134 	0.2		  CC3
;


																Exponential load model parameters
  Nodes |	Active Power Demand  |  Reactive Power Demand  |	Active Power   |	Reactive Power   | :=
	1			0.00						0.00					 -					-
	2 			0.00 						0.00 	        		  -					-
	3 			41.40 						17.64           		1.25			  3.50
	4 			0.0 						0.00            		  -					-
	5 			69.00 						29.39           		1.25			  3.50
	6 			69.00 						29.39           		1.25			  3.50
	7 			103.50 						44.09           		1.25			  3.50
	8 			69.00 						29.39           		1.25			  3.50
	9 			69.00 						29.39           		1.25			  3.50
	10 			0.00 						0.00            		  -					-
	11 			0.00						0.00            		 -					-
	12 			7.91 						3.37            		0.72			  2.96
	13 			69.00 						29.39           		1.25			  3.50
	14 			69.00 						29.39           		1.25			  3.50
	15 			103.50 						44.09           		 0.18				6
	16 			41.40 						17.64           		 0.72				2.96
	17 			103.50 						44.09           		 0.18				6
	18 			0.00 						0.00            		  -					-
	19 			69.00 						29.39           		 1.25				3.50
	20 			103.50 						44.09           		 0.18				6
	21 			103.50 						44.09           		 0.18				6
	22 			103.50 						44.09           		 0.18				6
	23 			0.00 						0.00            		  -					-
	24 			2.76 						1.18            		 0.72			  2.96
	25 			41.40 						17.64           		 0.18				6
	26 			0.00 						0.00            		  -					-
	27 			103.50 						44.09           		 0.18				6
	28 			0.00 						0.00            		  -					-
	29 			69.00 						29.39           		 1.25				3.50
	30 			103.50 						44.09           		 0.18				6
	31 			103.50 						44.09           		 0.18				6
	32 			103.50 						44.09           		 0.18				6
	33 			103.50 						44.09           		 0.18				6
	34 			103.50 						44.09           		 0.18				6
	35 			0.00 						0.00            		  -					-
	36 			11.41 						4.86            		 0.72			  2.96
	37 			103.50 						44.09           		 0.18				6
	38 			0.00 						0.00            		  -					-
	39 			2.76 						1.18            		 0.72			  2.96
	40 			0.00 						0.00            		  -					-
	41 			69.00 						29.39           		 1.25				3.50
	42 			69.00 						29.39           		 1.25				3.50
	43 			69.00 						29.39           		 1.25				3.50
	44 			103.50 						44.09           		 0.18				6
	45 			41.40 						17.64           		 1.25				3.50
	46 			0.92 						0.39            		 0.72				2.96
	47 			103.50 						44.09           		 0.18				6
	48 			0.00 						0.00            		  -					-
	49 			103.50 						44.09           		 0.18				6
	50 			69.00 						29.39           		 1.25				3.50
	51 			103.50 						44.09           		 0.18				6
	52 			0.00 						0.00            		  -					-
	53 			1.10 						0.47            		 0.72			  2.96
	54 			103.50 						44.09           		 0.18				6
	55 			69.00 						29.39           		 0.18				6
	56 			69.00 						29.39           		 0.18				6
	57 			0.00 						0.00            		  -					-
	58 			9.20 						3.92            		 0.72			  2.96
	59 			103.50 						44.09           		 0.18				6
	60 			3.50 						1.49            		 0.72			  2.96
	61 			2.76 						1.18            		 0.72			  2.96
	62 			5.06 						2.16            		 0.72			  2.96
	63 			0.00	    				0.00            		  -					-
	64 			69.00 						29.39           		 1.25			  3.50
	65 			69.00 						29.39           		 1.25			  3.50
	66 			3.22 						1.37            		 0.72			  2.96
	67 			0.00 						0.00            		  -					-
	68 			103.50 						44.09           		 0.18				6
	69 			6.44 						2.74            		 0.72			  2.96
	70 			103.50 						44.09           		 0.18				6
	71 			69.00 						29.39           		 1.25			  3.50
	72 			7.82 						3.33            		 0.72			  2.96
	73 			1.75 						0.74            		 0.72			  2.96
	74 			103.50 						44.09           		 0.18				6
	75 			103.50 						44.09           		 0.18				6
	76 			103.50 						44.09           		 0.18				6
	77 			5.43 						2.31            		 0.72			  2.96
	78 			0.00 						0.00            		  -					-
	79 			69.00 						29.39           		 1.25			  3.50
	80 			103.50 						44.09           		 0.18				6
	81 			103.50 						44.09           		 0.18				6
	82 			0.00 						0.00            		  -					-
	83 			69.00 						29.39           		 1.25			  3.50
	84 			69.00 						29.39           		 1.25			  3.50
	85 			103.50 						44.09           		 0.18				6
	86 			14.26 						6.07            		 0.72			  2.96
	87 			69.00 						29.39           		 1.25			  3.50
	88 			69.00 						29.39           		 1.25			  3.50
	89 			69.00 						29.39           		 1.25			  3.50
	90 			0.00 						0.00            		  -					-
	91 			41.40 						17.64           		 0.18				6
	92 			0.00 						0.00            		  -					-
	93 			103.50 						44.09           		 0.18				6
	94 			21.62 						9.21            		 0.72			  2.96
	95 			0.00 						0.00            		  -					-
	96 			69.00 						29.39           		 1.25			  3.50
	97 			5.52 						2.35            		 0.72			  2.96
	98 			0.00 						0.00            		  -					-
	99 			21.62 						9.21            		 0.72			  2.96
	100			69.00 						29.39           		 1.25			  3.50
	101			103.50 						44.09           		 0.18				6
	102			103.50 						44.09           		 0.18				6
	103			0.00 						0.00            		  -					-
	104			69.00 						29.39           		 1.25			  3.50
	105			69.00 						29.39           		 1.25			  3.50
	106			99.82 						42.52           		 0.18				6
	107			0.00 						0.00            		  -					-
	108			0.00 						0.00            		  -					-
	109			99.82 						42.52           		 0.18				6
	110			103.50 						44.09           		 0.18				6
	111			103.50 						44.09           		 0.18				6
	112			69.00 						29.39           		 1.25			  3.50
	113			0.00 						0.00            		  -					-
	114			0.00 						0.00            		  -					-
	115			27.60 						11.76           		 1.25			  3.50
	116			27.60 						11.76           		 1.25			  3.50
	117			27.60 						11.76           		 1.25			  3.50
	118			27.60 						11.76           		 1.25			  3.50
	119			0.00 						0.00            		  -					-
	120			0.00 						0.00            		  -					-
	121			27.60 						11.76           		 1.25			  3.50
	122			50.60 						21.56           		 0.18				6
	123			0.00 						0.00            		  -					-
	124			14.26 						6.07            		 0.72			  2.96
	125			14.26 						6.07            		 0.72			  2.96
	126			41.40 						17.64           		 0.18				6
	127			103.50 						44.09           		 0.18				6
	128			0.00 						0.00            		  -					-
	129			41.40 						17.64           		 0.18				6
	130			0.00						0.00            		  -					-
	131			103.50 						44.09           		 0.18				6
	132			0.00 						0.00            		  -					-
	133			103.50 						44.09           		 0.18				6
	134			103.50 						44.09           		 0.18				6
;
