Day/Hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.647717586,0.626936551,0.612569678,0.591446661,0.589603478,0.579472924,0.595874842,0.605038035,0.634898782,0.678296714,0.697102753,0.696218874,0.703621633,0.677075248,0.66506929,0.659356665,0.645590273,0.659310531,0.665526973,0.667976496,0.655828473,0.675965822,0.64880724,0.640815717
2,0.594576485,0.568711134,0.54831382,0.535823084,0.528770361,0.534117571,0.543829253,0.552882602,0.579850056,0.615200077,0.643393391,0.655315868,0.661131746,0.644714449,0.616265565,0.608405123,0.609086888,0.619364633,0.649318381,0.656642784,0.666152352,0.671326008,0.632982369,0.6156541
3,0.590250825,0.574496987,0.556723483,0.561369155,0.557244144,0.583046518,0.643591111,0.718470355,0.761105236,0.790500245,0.801193932,0.821054474,0.807762608,0.814063264,0.797254191,0.78699036,0.773631855,0.78821622,0.798983137,0.782749646,0.758616902,0.748488545,0.717966537,0.69088631
4,0.651324134,0.621192438,0.607131664,0.59678069,0.598407847,0.617371329,0.665470587,0.741095307,0.786096962,0.819368733,0.827692718,0.845638311,0.831707885,0.814455774,0.809324591,0.812135867,0.803130849,0.791789814,0.806344887,0.793606635,0.774988796,0.773437065,0.733164564,0.706829812
5,0.665251631,0.635558579,0.61638859,0.600786337,0.609955389,0.63388602,0.679062693,0.752246678,0.797306916,0.828007604,0.840729745,0.85354855,0.835834361,0.826249367,0.806927793,0.802662913,0.808088479,0.801243728,0.804259314,0.786111607,0.773954065,0.768648596,0.73368376,0.70207576
6,0.660942081,0.63561936,0.614139716,0.604610376,0.604018682,0.618761955,0.67989165,0.742106604,0.789393749,0.802405146,0.815070168,0.838204064,0.828473343,0.811154593,0.810177713,0.79062327,0.782740859,0.779579546,0.786627875,0.768178463,0.752795166,0.755755097,0.721045833,0.691627391
7,0.645297355,0.621327912,0.598856743,0.597567906,0.59347658,0.608590393,0.658653663,0.732391262,0.779567097,0.808968696,0.810967858,0.80546467,0.789574625,0.769536868,0.766150741,0.75045329,0.743842873,0.752546186,0.746463753,0.746266766,0.723869558,0.729979818,0.697364181,0.679669765
8,0.643537653,0.603636425,0.578016392,0.57088092,0.562046527,0.550729658,0.563614368,0.586651601,0.619374152,0.66881717,0.68495473,0.690006093,0.703825943,0.679136655,0.676088115,0.668735885,0.660122645,0.664091677,0.685441705,0.682262817,0.680681795,0.674744356,0.659755765,0.630647084
9,0.589951317,0.571513622,0.547807073,0.53937837,0.529637397,0.529145296,0.556560914,0.565813447,0.578554628,0.616997126,0.646164391,0.636908929,0.647302376,0.653077978,0.631670831,0.633114914,0.616066381,0.611247155,0.649316184,0.668844265,0.672959756,0.682738808,0.657725847,0.627990322
10,0.594599186,0.5754746,0.564091824,0.564791897,0.565858117,0.58720668,0.659211671,0.743333929,0.773094352,0.795835738,0.804600563,0.81732783,0.791607473,0.792293632,0.774908976,0.779244156,0.769471694,0.779962536,0.781356823,0.781290917,0.768990577,0.773500042,0.7224782,0.69012326
11,0.648597804,0.614527832,0.591177177,0.589419672,0.59361718,0.61385046,0.66110758,0.745915265,0.777661669,0.804555161,0.788547217,0.782018817,0.779304936,0.777343121,0.774730296,0.772973523,0.77141447,0.783083572,0.78540055,0.786486542,0.77436122,0.781638757,0.748186108,0.706735346
12,0.663858076,0.637209169,0.613603677,0.607030607,0.60638985,0.621367456,0.671082887,0.752709487,0.781676103,0.803951018,0.814940552,0.822108245,0.811632781,0.820861881,0.802992446,0.792667102,0.79293146,0.790372093,0.80221475,0.790500245,0.780315501,0.751526833,0.712874898,0.692771234
13,0.643579394,0.62116754,0.600631091,0.590491018,0.595558491,0.607037198,0.668629702,0.755067474,0.781208168,0.819463199,0.823385365,0.823060959,0.819403151,0.806964408,0.805925283,0.798940664,0.790553702,0.784531317,0.795505473,0.779626413,0.773618674,0.751995501,0.726362286,0.697225778
14,0.649782655,0.626505962,0.601471764,0.609187212,0.602995668,0.623443509,0.673935171,0.760826233,0.785487693,0.802048519,0.799785731,0.813708102,0.796196759,0.790486331,0.76745276,0.784340921,0.763228156,0.757587297,0.756756876,0.750948321,0.751116016,0.726301506,0.689041662,0.673680333
15,0.630514539,0.600645737,0.569605264,0.566480566,0.558294253,0.560656633,0.578356908,0.60279209,0.629006746,0.676459388,0.687519223,0.696133928,0.683063947,0.681994798,0.667423614,0.666299543,0.659638598,0.660842489,0.669898768,0.682329456,0.691655218,0.682451017,0.645084258,0.637414944
16,0.593820026,0.571749421,0.551895469,0.543576611,0.528170613,0.526159734,0.549685407,0.550649838,0.571377415,0.606327605,0.646047224,0.651441301,0.668420999,0.649204875,0.631183123,0.623945863,0.615388277,0.625233236,0.65173788,0.672464725,0.690482084,0.691372553,0.641545814,0.628999423
17,0.601670216,0.578927365,0.557749427,0.549373449,0.555893062,0.579999443,0.640189606,0.741915476,0.764027089,0.788381718,0.797881034,0.801576189,0.798301371,0.78593366,0.777772977,0.778210889,0.76867862,0.774011184,0.782597329,0.771675898,0.768828008,0.73746679,0.685555943,0.651570185
18,0.596555875,0.57807644,0.556773279,0.568571265,0.548900388,0.571985952,0.631901504,0.72467142,0.758005437,0.786198018,0.791322611,0.78745317,0.78013316,0.772258072,0.761978863,0.76790312,0.759768068,0.769289353,0.782245096,0.779897362,0.790412369,0.754155768,0.723160697,0.693500599
19,0.645392553,0.608709757,0.577612898,0.5739009,0.588685181,0.59093552,0.643636513,0.733893929,0.776060874,0.794302314,0.805106578,0.791703403,0.804115052,0.781974879,0.780871313,0.777469808,0.765512181,0.781196451,0.798906978,0.79410313,0.800096223,0.764178674,0.733851456,0.693237706
20,0.650799079,0.625986766,0.595178431,0.593804647,0.599279276,0.609066384,0.662752312,0.741238836,0.767122495,0.802876011,0.805913566,0.796487479,0.810727666,0.78864388,0.768951033,0.770619931,0.768654454,0.782395216,0.79238224,0.791275744,0.791651411,0.747956168,0.712934214,0.682515459
21,0.640560879,0.626059995,0.599860718,0.590578893,0.576550339,0.599679109,0.649087708,0.739606553,0.772449933,0.802760309,0.808658203,0.796839713,0.779750903,0.775669097,0.757489169,0.740945186,0.716050124,0.725340736,0.735144687,0.730554669,0.743396906,0.703952629,0.67743041,0.65709168
22,0.617088663,0.603335452,0.578285144,0.562474187,0.55897016,0.563626085,0.569593548,0.595464025,0.628826602,0.667117516,0.693989039,0.677804612,0.70663136,0.695748741,0.686877733,0.68019189,0.679206223,0.688674782,0.700829396,0.699192719,0.720032338,0.678951384,0.655838725,0.643871579
23,0.59885894,0.573110023,0.54846687,0.538137132,0.543955207,0.541315288,0.551446573,0.580807164,0.596648145,0.638728679,0.673940298,0.698796548,0.71537202,0.683549458,0.66958022,0.661798133,0.641513593,0.671786621,0.670847821,0.723639618,0.719035686,0.716350365,0.673690585,0.645052769
24,0.599011989,0.587863547,0.56929111,0.553589265,0.558745346,0.584308993,0.652929322,0.755517834,0.785328785,0.803956144,0.808850064,0.810160138,0.794786361,0.788843796,0.779447001,0.776024259,0.777125629,0.777287466,0.782179922,0.788904576,0.800929574,0.763958253,0.729391054,0.710740994
25,0.671832024,0.635426034,0.608284294,0.608640189,0.604398011,0.626850873,0.684335209,0.787055534,0.805912834,0.818568336,0.807419894,0.810955409,0.79333349,0.783382348,0.770997062,0.772716488,0.75783408,0.771308287,0.788996113,0.777644826,0.809342166,0.768578295,0.738798833,0.708490654
26,0.665135928,0.639833711,0.624582226,0.609838222,0.598395398,0.628089182,0.678564733,0.774484245,0.794918906,0.79998345,0.807523148,0.810948086,0.801316225,0.793616155,0.781982202,0.771871421,0.776794633,0.778789401,0.792418122,0.793676935,0.817602441,0.777454429,0.738860346,0.726513871
27,0.673976912,0.644652204,0.615212526,0.606613932,0.613245585,0.629299663,0.687090099,0.775556324,0.789644193,0.805692413,0.806814287,0.814975702,0.794419481,0.784428796,0.765704042,0.765808028,0.759338211,0.770600159,0.776698702,0.774899456,0.814302724,0.768578295,0.737062564,0.71170396
28,0.665903372,0.629997539,0.616147666,0.607637679,0.601090239,0.615968254,0.669501132,0.764651003,0.786674741,0.806416652,0.812714379,0.806232114,0.809214014,0.805767107,0.773666273,0.765717956,0.760057324,0.755563237,0.760696617,0.751569306,0.757776961,0.720396288,0.71721081,0.687290747
29,0.657524466,0.606963968,0.586999441,0.581771595,0.567186498,0.570987103,0.585317362,0.628914477,0.653979431,0.693717358,0.705975957,0.696982656,0.694798224,0.68391414,0.657896471,0.656284692,0.644808915,0.655435232,0.676997624,0.695708465,0.721532808,0.695808789,0.669591204,0.665540155
30,0.627627837,0.598176442,0.581677861,0.560204808,0.557707686,0.55796106,0.569288913,0.600571775,0.60703793,0.641641012,0.665242843,0.672088326,0.678124625,0.654002132,0.635265662,0.620792606,0.620351032,0.621337432,0.665070754,0.695551754,0.733811179,0.701728653,0.672239179,0.663401857
31,0.62346621,0.584747637,0.567208466,0.571049348,0.567840436,0.583490288,0.672877739,0.771202104,0.796658104,0.809112958,0.810290486,0.815711658,0.798697542,0.770180554,0.773171243,0.773162455,0.751221466,0.750720577,0.782357869,0.805112436,0.827698576,0.761728419,0.726740882,0.717040185
32,0.648065426,0.602866784,0.560167461,0.564698895,0.575965237,0.590114619,0.652853163,0.74046114,0.756597968,0.776604236,0.784141005,0.802924342,0.79541174,0.788923616,0.78271889,0.764428386,0.751460926,0.758503396,0.777573793,0.767371475,0.785927069,0.723199509,0.695463147,0.688157783
33,0.642929849,0.610000791,0.580974859,0.560053223,0.583269136,0.600695533,0.66670377,0.763437592,0.789731336,0.797749222,0.801212239,0.805629436,0.786539267,0.774266754,0.763959718,0.760334863,0.756876239,0.762949885,0.77908598,0.786641788,0.807990351,0.757215291,0.726078889,0.716990389
34,0.661032886,0.623071504,0.598382949,0.582821704,0.587285035,0.611729004,0.67066255,0.761023952,0.789955418,0.791723908,0.795859171,0.804492916,0.797820986,0.778853111,0.766905004,0.758814621,0.765883454,0.776924981,0.785171342,0.800151878,0.81027877,0.755698711,0.720309145,0.705872704
35,0.647519135,0.623326342,0.595776715,0.592487251,0.588711544,0.609707873,0.668259162,0.759821525,0.791082418,0.789921732,0.793546587,0.790903739,0.762823198,0.756939217,0.746852601,0.728251604,0.730000322,0.740669844,0.753287999,0.752463437,0.765211208,0.733308094,0.698024711,0.694326626
36,0.65276602,0.601105617,0.565992126,0.556743255,0.551795145,0.553158676,0.559332646,0.595004877,0.615479081,0.644313885,0.673336155,0.681518074,0.680139897,0.661767377,0.647204248,0.646104343,0.644080283,0.650287206,0.668270146,0.693359999,0.698151397,0.647177886,0.635178519,0.622166389
37,0.592802137,0.561751413,0.523448782,0.508236841,0.499649964,0.505700908,0.518585618,0.540340605,0.551517606,0.588299994,0.624779213,0.639273506,0.645644463,0.640314095,0.616122768,0.616163776,0.601316518,0.609047344,0.641452812,0.675267946,0.690478422,0.666328103,0.635992829,0.632977243
38,0.586431913,0.558458287,0.542150835,0.532579022,0.556423242,0.579642084,0.643260846,0.748105556,0.772608841,0.777488115,0.768801645,0.775841918,0.761292704,0.744596404,0.742827914,0.742105872,0.736188938,0.753638768,0.768392293,0.792847246,0.810910739,0.750314886,0.714799366,0.692621114
39,0.658940722,0.626010199,0.601223517,0.598478147,0.602589977,0.614171204,0.676114478,0.77106663,0.80617353,0.81022458,0.804878102,0.808212969,0.780945274,0.774080752,0.766174175,0.765027402,0.75799372,0.765151892,0.783667211,0.792076141,0.798533508,0.758170203,0.721010683,0.709773633
40,0.660359175,0.609475004,0.589309828,0.596262226,0.588844089,0.616556286,0.670862466,0.773179298,0.795076349,0.795907502,0.791387785,0.789814085,0.780389463,0.772646188,0.762384554,0.757409349,0.759553506,0.749403913,0.782964941,0.794178557,0.791787617,0.728601641,0.712123564,0.691283945
41,0.646189289,0.592715726,0.580648256,0.578846813,0.555724634,0.595548971,0.641879007,0.738715352,0.790727988,0.78857065,0.802525242,0.802723694,0.794827369,0.772225851,0.758976458,0.745642119,0.746147402,0.776212459,0.795432244,0.799711037,0.782163811,0.736227749,0.693110286,0.682940189
42,0.633738097,0.611746579,0.57339342,0.582476061,0.586303761,0.598594582,0.64947143,0.757716913,0.772375971,0.785643672,0.793284426,0.790545647,0.777452965,0.782362263,0.767217693,0.758596398,0.73712188,0.761973737,0.762442405,0.774381724,0.76965257,0.712092076,0.695351106,0.682984859
43,0.633352178,0.601821801,0.574617816,0.552375122,0.546251681,0.536897359,0.549505262,0.592919304,0.626049011,0.665655125,0.689990715,0.700255278,0.695316688,0.678384589,0.658125679,0.644991989,0.638890516,0.658194515,0.683341486,0.713964551,0.692818833,0.658476448,0.636909661,0.625246417
44,0.603238057,0.566311407,0.539712296,0.525190177,0.5259254,0.518077406,0.542101039,0.557235356,0.575699414,0.603268081,0.622058742,0.612401982,0.630959774,0.619895546,0.595877039,0.598000691,0.597515913,0.625463908,0.663297138,0.702751667,0.705905657,0.671246188,0.648984455,0.62452584
45,0.58036559,0.559619705,0.535601931,0.523148541,0.53502049,0.570132516,0.629834238,0.730813901,0.762073329,0.787515415,0.793228772,0.805796399,0.793998412,0.783235157,0.771978336,0.776569818,0.780508827,0.786992557,0.803906348,0.835439655,0.80519665,0.759035774,0.721091235,0.698857329
