Day/Hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0,0,0,0,0,0,0.017414732,0.135359935,0.302801337,0.257256151,0.203591354,0.216978199,0.254880732,0.187833563,0.064606718,0.020669185,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0.032747137,0.27736596,0.512268721,0.694287668,0.802059742,0.826225404,0.7672751,0.624906704,0.417836325,0.171817983,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0.000820768,0.196028517,0.343504966,0.514325001,0.669992194,0.6266866,0.607866327,0.33503388,0.221746085,0.004479455,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0.006549232,0.029712271,0.036382605,0.088338622,0.195175979,0.255619072,0.315877819,0.270903996,0.163118302,0.042057412,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0.036178428,0.284212255,0.520524266,0.705092056,0.813752722,0.83563603,0.772819875,0.627832932,0.419194844,0.173712462,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0.000373191,0.076076798,0.171679935,0.229067522,0.201003848,0.303683185,0.164198025,0.110871263,0.067397213,0.002374325,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0.021599537,0.128195931,0.159468166,0.27892219,0.30423374,0.101291962,0.040078721,0.031532396,0.022786263,0.037653467,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0.039870547,0.286133732,0.52172419,0.70744745,0.819949359,0.846210233,0.783823874,0.644984172,0.434778159,0.182585189,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0.005032917,0.01221995,0.044777412,0.060481174,0.060627759,0.091379576,0.10145509,0.079621952,0.046398289,0.020011307,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0.000913507,0.148872811,0.265111456,0.27125256,0.456664417,0.500724428,0.467682157,0.369880001,0.279360794,0.005227701,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0.044060427,0.290130155,0.528891035,0.71486326,0.820276866,0.839423145,0.779410539,0.635226564,0.427901642,0.182716554,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0.045505845,0.29257509,0.527060525,0.703963665,0.806071987,0.830279438,0.76830931,0.631046988,0.426230766,0.182450136,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0.001409665,0.005942638,0.018613444,0.02364063,0.027592655,0.052855012,0.033465695,0.018015682,0.006099732,0.003726138,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0.049586926,0.296592556,0.527930598,0.704744011,0.810794089,0.836534067,0.779226451,0.64377833,0.438066631,0.19059306,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0.002244101,0.004199365,0.003454871,0.013095038,0.017246612,0.011011953,0.023443008,0.016196533,0.009717115,0.003105928,0,0,0,0,0,0,0
